86
10001,ACCT 209,501,SURVEY OF ACCT PRIN
1
Lecture,T,800,915
10002,ACCT 209,502,SURVEY OF ACCT PRIN
1
Lecture,R,800,915
27456,ACCT 209,503,SURVEY OF ACCT PRIN
1
Lecture,T,800,915
27457,ACCT 209,504,SURVEY OF ACCT PRIN
1
Lecture,R,800,915
14103,ACCT 210,501,MGRL & COST ACCT PRIN
1
Lecture,TR,800,915
10003,ACCT 229,200,HNR-INTRO ACCOUNTING
1
Lecture,TR,935,1050
27382,ACCT 229,201,HNR-INTRO ACCOUNTING
1
Lecture,TR,1110,1225
34562,ACCT 229,202,HNR-INTRO ACCOUNTING
1
Lecture,TR,1245,1400
10004,ACCT 229,501,INTRO ACCOUNTING
1
Lecture,MW,800,915
10005,ACCT 229,502,INTRO ACCOUNTING
1
Lecture,MW,935,1050
10006,ACCT 229,503,INTRO ACCOUNTING
1
Lecture,MW,1245,1400
24413,ACCT 229,504,INTRO ACCOUNTING
1
Lecture,TR,1245,1400
10007,ACCT 229,505,INTRO ACCOUNTING
1
Lecture,MW,1245,1400
34563,ACCT 229,506,INTRO ACCOUNTING
1
Lecture,TR,800,915
34564,ACCT 229,507,INTRO ACCOUNTING
1
Lecture,TR,935,1050
34565,ACCT 229,508,INTRO ACCOUNTING
1
Lecture,TR,1245,1400
34566,ACCT 229,509,INTRO ACCOUNTING
1
Lecture,TR,1420,1535
34567,ACCT 229,510,INTRO ACCOUNTING
1
Lecture,MW,1245,1400
27384,ACCT 229,511,INTRO ACCOUNTING
1
Lecture,MW,1420,1535
27856,ACCT 229,513,INTRO ACCOUNTING
1
Lecture,TR,1110,1225
10010,ACCT 230,201,HNR-INTRO ACCOUNTING
1
Lecture,MW,1245,1400
10012,ACCT 230,501,INTRO ACCOUNTING
1
Lecture,MW,1020,1110
10013,ACCT 230,502,INTRO ACCOUNTING
1
Lecture,MW,1130,1220
10016,ACCT 321,500,PROF DEVELOPMENT SEMINAR
1
Lecture,TR,1730,1845
21666,ACCT 322,500,PROF DEVELOPMENT BBA
1
Lecture,TR,1600,1730
34568,ACCT 327,500,FINANCIAL REPORTING I
1
Lecture,MW,800,915
16673,ACCT 327,501,FINANCIAL REPORTING I
1
Lecture,MW,935,1050
16674,ACCT 327,502,FINANCIAL REPORTING I
1
Lecture,MW,1110,1225
10017,ACCT 327,503,FINANCIAL REPORTING I
1
Lecture,TR,1110,1225
10018,ACCT 327,504,FINANCIAL REPORTING I
1
Lecture,TR,1245,1400
23830,ACCT 327,505,FINANCIAL REPORTING I
1
Lecture,MWF,800,850
23831,ACCT 327,506,FINANCIAL REPORTING I
1
Lecture,MWF,910,1000
32793,ACCT 327,507,FINANCIAL REPORTING I
1
Lecture,MWF,1020,1110
35599,ACCT 327,508,FINANCIAL REPORTING I
1
Lecture,MWF,1130,1220
10019,ACCT 328,501,FINANCIAL REPORTING II
1
Lecture,MW,935,1050
10020,ACCT 328,502,FINANCIAL REPORTING II
1
Lecture,MW,1110,1225
26523,ACCT 328,504,FINANCIAL REPORTING II
1
Lecture,TR,800,915
26524,ACCT 328,505,FINANCIAL REPORTING II
1
Lecture,TR,935,1050
26525,ACCT 328,506,FINANCIAL REPORTING II
1
Lecture,TR,1110,1225
38571,ACCT 328,507,FINANCIAL REPORTING II
1
Lecture,MW,1110,1225
38572,ACCT 328,508,FINANCIAL REPORTING II
1
Lecture,MW,1245,1400
27388,ACCT 328,510,FINANCIAL REPORTING II
1
Lecture,TR,935,1050
15758,ACCT 329,501,COST MGMT & ANALYSIS
1
Lecture,R,1245,1400
10021,ACCT 405,501,INCOME TAX
1
Lecture,TR,1420,1535
10022,ACCT 405,502,INCOME TAX
1
Lecture,MW,1245,1400
25065,ACCT 405,503,INCOME TAX
1
Lecture,MW,1420,1535
10023,ACCT 405,504,INCOME TAX
1
Lecture,MW,1555,1710
10024,ACCT 405,505,INCOME TAX
1
Lecture,TR,1420,1535
10025,ACCT 405,506,INCOME TAX
1
Lecture,TR,1555,1710
12542,ACCT 407,901,AUDITING
1
Lecture,TR,1110,1225
12543,ACCT 407,902,AUDITING
1
Lecture,TR,1420,1535
10028,ACCT 410,500,FRAUD EXAMINATION
1
Lecture,TR,1110,1225
18604,ACCT 421,931,CRITICAL COMM ACCT
1
Lecture,TR,1245,1400
18605,ACCT 421,932,CRITICAL COMM ACCT
1
Lecture,TR,1420,1535
27391,ACCT 421,933,CRITICAL COMM ACCT
1
Lecture,TR,1555,1710
10029,ACCT 427,501,ACCT & FIN INFO SYSTEMS
1
Lecture,MWF,800,850
10030,ACCT 427,502,ACCT & FIN INFO SYSTEMS
1
Lecture,MWF,910,1000
10031,ACCT 427,503,ACCT & FIN INFO SYSTEMS
1
Lecture,MWF,1020,1110
23832,ACCT 427,504,ACCT & FIN INFO SYSTEMS
1
Lecture,TR,1245,1400
21516,ACCT 427,505,ACCT & FIN INFO SYSTEMS
1
Lecture,TR,1420,1535
10033,ACCT 445,501,INTERNATIONAL ACCT
2
Lecture,T,1245,1400
Lecture,R,1245,1400
10034,ACCT 445,502,INTERNATIONAL ACCT
1
Lecture,T,1245,1400
10035,ACCT 447,501,FINANCIAL STMNT ANALYSIS
1
Lecture,TR,1420,1535
10036,ACCT 447,502,FINANCIAL STMNT ANALYSIS
1
Lecture,TR,1555,1710
10037,ACCT 450,501,ACCOUNTING ETHICS
2
Lecture,MW,1500,1655
Lecture,TR,935,1050
27390,ACCT 450,502,ACCOUNTING ETHICS
2
Lecture,MW,1500,1655
Lecture,TR,935,1050
15771,ACCT 607,600,SEMINAR IN AUDITING
1
Seminar,TR,1555,1710
15249,ACCT 615,600,CONTEMPORARY TAX TOPICS
1
Lecture,TR,1555,1710
10039,ACCT 620,601,MGMT ACCT & CONTROL
1
Lecture,TR,1045,1245
10040,ACCT 620,602,MGMT ACCT & CONTROL
1
Lecture,TR,830,1030
10042,ACCT 644,601,CONTROL AUDIT INFO SYSTM
2
Lecture,MW,935,1050
Lecture,F,1020,1320
10043,ACCT 644,602,CONTROL AUDIT INFO SYSTM
2
Lecture,MW,1110,1225
Lecture,F,1020,1320
12754,ACCT 646,601,INTERNATIONAL ACCOUNTING
2
Lecture,T,1245,1400
Lecture,R,1245,1400
10044,ACCT 646,602,INTERNATIONAL ACCOUNTING
1
Lecture,T,1245,1400
34569,ACCT 647,600,FINANCIAL STMNT ANALYSIS
1
Lecture,TR,1245,1400
10045,ACCT 647,601,FINANCIAL STMNT ANALYSIS
1
Lecture,TR,800,915
10046,ACCT 647,602,FINANCIAL STMNT ANALYSIS
1
Lecture,TR,935,1050
34570,ACCT 647,603,FINANCIAL STMNT ANALYSIS
1
Lecture,TR,1110,1225
38392,ACCT 647,604,FINANCIAL STMNT ANALYSIS
1
Lecture,MW,1245,1400
38393,ACCT 647,605,FINANCIAL STMNT ANALYSIS
1
Lecture,MW,1420,1535
38394,ACCT 647,606,FINANCIAL STMNT ANALYSIS
1
Lecture,MW,1555,1710
10047,ACCT 650,601,ACCOUNTING ETHICS
2
Lecture,MW,1500,1655
Lecture,TR,935,1050
27858,ACCT 650,602,ACCOUNTING ETHICS
2
Lecture,MW,1500,1655
Lecture,TR,935,1050
23833,ACCT 680,601,TAX RESEARCH & POLICY
4
Lecture,MW,800,1000
Lecture,F,800,1000
Lecture,T,1800,2000
Lecture,M,1800,2000
23834,ACCT 680,602,TAX RESEARCH & POLICY
4
Lecture,MW,1020,1220
Lecture,F,1020,1220
Lecture,T,1800,2000
Lecture,M,1800,2000
13809,ACCT 691,600,RESEARCH
1
Research,MW,1420,1535
