67
21046,AERO 201,200,HNR-INTRO TO FLIGHT
2
Lecture,TR,935,1050
Laboratory,W,910,1000
21047,AERO 201,500,INTRO TO FLIGHT
2
Lecture,TR,935,1050
Laboratory,W,910,1000
38651,AERO 211,500,AERO ENGR MECHANICS
2
Lecture,TR,1420,1535
Recitation,W,1610,1700
37973,AERO 212,200,HNR-INTRO TO AEROTHERMODYNM
2
Laboratory,M,1500,1550
Lecture,TR,1110,1225
10049,AERO 212,500,INTRO TO AEROTHERMODYNM
2
Laboratory,M,1500,1550
Lecture,TR,1110,1225
37974,AERO 212,501,INTRO TO AEROTHERMODYNM
2
Laboratory,M,1610,1700
Lecture,TR,1110,1225
37975,AERO 212,502,INTRO TO AEROTHERMODYNM
2
Lecture,TR,1245,1400
Laboratory,F,910,1000
37976,AERO 212,503,INTRO TO AEROTHERMODYNM
2
Lecture,TR,1245,1400
Laboratory,F,1020,1110
14107,AERO 214,500,INTRO AERO MECH OF MATLS
2
Laboratory,M,910,1000
Lecture,TR,935,1050
21687,AERO 214,501,INTRO AERO MECH OF MATLS
2
Laboratory,M,1020,1110
Lecture,TR,935,1050
34253,AERO 214,502,INTRO AERO MECH OF MATLS
2
Laboratory,M,1240,1330
Lecture,TR,1555,1710
34254,AERO 214,503,INTRO AERO MECH OF MATLS
2
Laboratory,M,1350,1440
Lecture,TR,1555,1710
37981,AERO 222,200,HNR-INTRO AERO COMPUTATION
2
Lecture,TR,1420,1535
Laboratory,W,1020,1200
37977,AERO 222,500,INTRO AERO COMPUTATION
2
Lecture,TR,1420,1535
Laboratory,W,1020,1200
37978,AERO 222,501,INTRO AERO COMPUTATION
2
Lecture,TR,1420,1535
Laboratory,F,1130,1310
37979,AERO 222,502,INTRO AERO COMPUTATION
2
Lecture,TR,800,915
Laboratory,F,1350,1530
37980,AERO 222,503,INTRO AERO COMPUTATION
2
Lecture,TR,800,915
Laboratory,F,1610,1750
39377,AERO 289,500,SPTP:INTRO TO AERO COMPUTATION
2
Lecture,TR,800,915
Laboratory,F,1350,1530
10051,AERO 301,500,THEORETICAL AERODYN
1
Lecture,MWF,1020,1110
10052,AERO 303,200,HNR-HIGH SPEED AERODYN
1
Lecture,MWF,1020,1110
10053,AERO 303,500,HIGH SPEED AERODYN
1
Lecture,MWF,1020,1110
24366,AERO 303,501,HIGH SPEED AERODYN
1
Lecture,MWF,1130,1220
10054,AERO 304,500,AERO STRUCTURAL ANALYS I
1
Lecture,MWF,910,1000
10055,AERO 306,500,AERO STRUCTURAL ANALY II
1
Lecture,MWF,1240,1330
24367,AERO 306,501,AERO STRUCTURAL ANALY II
1
Lecture,MWF,1350,1440
38410,AERO 307,500,AERO ENGR LAB
2
Lecture,M,1500,1640
Laboratory,T,1500,1730
38432,AERO 310,502,AEROSPACE DYNAMICS
1
Lecture,MW,1720,1835
24368,AERO 321,200,HNR-DYN OF AERO VEHICLES
1
Lecture,TR,800,915
21048,AERO 321,500,DYN OF AERO VEHICLES
1
Lecture,TR,800,915
30562,AERO 321,501,DYN OF AERO VEHICLES
1
Lecture,TR,935,1050
10057,AERO 351,500,AEROTHERMO PROPULSION
1
Lecture,TR,1245,1400
24632,AERO 351,501,AEROTHERMO PROPULSION
1
Lecture,MWF,910,1000
30563,AERO 401,501,AEROSPACE VEHICLE DES I
2
Laboratory,MWF,1130,1220
Lecture,TR,1110,1225
30564,AERO 402,500,AEROSPACE VEHICLE DES II
2
Laboratory,MW,1800,1850
Laboratory,TR,1555,1710
10058,AERO 402,501,AEROSPACE VEHICLE DES II
2
Laboratory,MWF,1130,1220
Laboratory,TR,1110,1225
10059,AERO 402,502,AEROSPACE VEHICLE DES II
2
Laboratory,MW,1610,1725
Laboratory,TR,1555,1710
38147,AERO 402,504,AEROSPACE VEHICLE DES II
2
Laboratory,MW,1130,1220
Laboratory,TR,1110,1225
38423,AERO 411,500,APPL FRACTURE MECHANICS AERO
1
Lecture,TR,935,1050
27421,AERO 413,500,AERO MATERIALS SCIENCE
1
Lecture,TR,1245,1400
