39
39878,CLEN 289,409,SPTP: THE ENGR PROFESSION
2
Lecture,T,935,1025
Laboratory,T,1026,1125
39881,CLEN 289,410,SPTP: THE ENGR PROFESSION
2
Lecture,T,935,1025
Laboratory,T,1026,1125
39879,CLEN 289,411,SPTP: THE ENGR PROFESSION
2
Lecture,T,1245,1335
Laboratory,T,1336,1435
39880,CLEN 289,412,SPTP: THE ENGR PROFESSION
2
Lecture,T,1245,1335
Laboratory,T,1336,1435
39882,CLEN 289,413,SPTP: THE ENGR PROFESSION
2
Lecture,W,910,1000
Laboratory,W,1001,1100
39884,CLEN 289,414,SPTP: THE ENGR PROFESSION
2
Lecture,W,910,1000
Laboratory,W,1001,1100
39883,CLEN 289,415,SPTP: THE ENGR PROFESSION
2
Lecture,W,1130,1220
Laboratory,W,1221,1320
39885,CLEN 289,417,SPTP: THE ENGR PROFESSION
2
Lecture,W,1350,1440
Laboratory,W,1441,1540
38976,CLEN 289,501,SPTP: ACCESS & INCLUS SEMINAR
1
Lecture,M,1350,1440
38977,CLEN 289,502,SPTP: WOMEN IN ENGR SEMINAR
1
Lecture,W,1350,1440
38979,CLEN 289,504,SPTP: REGENTS' SUCCESS SEMINAR
1
Lecture,T,1110,1200
38980,CLEN 289,505,SPTP: REGENTS' SUCCESS SEMINAR
1
Lecture,R,1110,1200
38981,CLEN 289,506,SPTP: REGENTS' SUCCESS SEMINAR
1
Lecture,T,1420,1510
38982,CLEN 289,507,SPTP: REGENTS' SUCCESS SEMINAR
1
Lecture,R,1420,1510
38983,CLEN 289,508,SPTP: ESBP SUCCESS SEMINAR
1
Lecture,F,1240,1330
39293,CLEN 289,509,SPTP: THE ENGR PROFESSION
2
Lecture,T,935,1025
Laboratory,T,1026,1125
39296,CLEN 289,510,SPTP: THE ENGR PROFESSION
2
Lecture,T,935,1025
Laboratory,T,1026,1125
39298,CLEN 289,511,SPTP: THE ENGR PROFESSION
2
Lecture,T,1245,1335
Laboratory,T,1336,1435
39299,CLEN 289,512,SPTP: THE ENGR PROFESSION
2
Lecture,T,1245,1335
Laboratory,T,1336,1435
39300,CLEN 289,513,SPTP: THE ENGR PROFESSION
2
Lecture,W,910,1000
Laboratory,W,1001,1100
39301,CLEN 289,514,SPTP: THE ENGR PROFESSION
2
Lecture,W,910,1000
Laboratory,W,1001,1100
39302,CLEN 289,515,SPTP: THE ENGR PROFESSION
2
Lecture,W,1130,1220
Laboratory,W,1221,1320
39303,CLEN 289,516,SPTP: THE ENGR PROFESSION
2
Lecture,W,1130,1220
Laboratory,W,1221,1320
39304,CLEN 289,517,SPTP: THE ENGR PROFESSION
2
Lecture,W,1350,1440
Laboratory,W,1441,1540
39305,CLEN 289,518,SPTP: THE ENGR PROFESSION
2
Lecture,W,1350,1440
Laboratory,W,1441,1540
40375,CLEN 289,531,SPTP: THE ENGR PROFESSION
2
Laboratory,F,1100,1300
Lecture,F,1100,1300
40376,CLEN 289,532,SPTP: THE ENGR PROFESSION
2
Laboratory,F,1100,1300
Lecture,F,1100,1300
40377,CLEN 289,533,SPTP: THE ENGR PROFESSION
2
Laboratory,F,1100,1300
Lecture,F,1100,1300
40378,CLEN 289,534,SPTP: THE ENGR PROFESSION
2
Laboratory,F,1100,1300
Lecture,F,1100,1300
40379,CLEN 289,535,SPTP: THE ENGR PROFESSION
2
Laboratory,F,1100,1300
Lecture,F,1100,1300
40380,CLEN 289,536,SPTP: THE ENGR PROFESSION
2
Laboratory,F,1100,1300
Lecture,F,1100,1300
40381,CLEN 289,537,SPTP: THE ENGR PROFESSION
2
Laboratory,F,1100,1300
Lecture,F,1100,1300
40582,CLEN 289,538,SPTP: THE ENGR PROFESSION
2
Laboratory,F,1300,1500
Lecture,F,1300,1500
39742,CLEN 289,550,SPTP: GV REGENTS' SEMINAR
1
Seminar,W,1500,1550
39743,CLEN 289,551,SPTP:ENGINEERING PROFESSION-GV
2
Lecture,W,1350,1440
Laboratory,W,1441,1540
39744,CLEN 289,552,SPTP:ENGINEERING PROFESSION-GV
2
Lecture,R,1245,1335
Recitation,R,1336,1435
40195,CLEN 289,553,SPTP:ENGINEERING PROFESSION-GV
2
Lecture,R,910,1000
Laboratory,R,1001,1100
39745,CLEN 289,M01,SPTP: MCALLEN REGENTS' SEMINAR
1
Seminar,W,1250,1340
39746,CLEN 289,M02,SPTP: MCALLEN ENGR PROFESSION
2
Lecture,F,1200,1250
Laboratory,F,1251,1350
