179
12354,CSCE 110,501,PROGRAMMING I
2
Lecture,TR,1110,1225
Laboratory,TR,1730,1820
12356,CSCE 110,502,PROGRAMMING I
2
Lecture,TR,1110,1225
Laboratory,TR,1840,1930
12358,CSCE 110,503,PROGRAMMING I
2
Lecture,TR,1420,1535
Laboratory,TR,1730,1820
20906,CSCE 110,504,PROGRAMMING I
2
Lecture,TR,1420,1535
Laboratory,TR,1840,1930
12320,CSCE 111,501,CPSC CONCEPTS & PROGRAM
2
Lecture,TR,800,915
Laboratory,TR,1730,1820
34539,CSCE 111,502,CPSC CONCEPTS & PROGRAM
2
Lecture,TR,800,915
Laboratory,TR,1840,1930
12323,CSCE 121,501,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,1350,1440
Laboratory,MW,1500,1550
12326,CSCE 121,502,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,1350,1440
Laboratory,MW,1610,1700
12328,CSCE 121,503,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,1350,1440
Laboratory,MW,1745,1835
12330,CSCE 121,504,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,1350,1440
Laboratory,MW,1900,1950
13808,CSCE 121,505,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,1500,1550
Laboratory,TR,825,915
13988,CSCE 121,506,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,1500,1550
Laboratory,TR,935,1025
15040,CSCE 121,507,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,1500,1550
Laboratory,TR,1135,1225
15041,CSCE 121,508,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,1500,1550
Laboratory,TR,1245,1335
15779,CSCE 121,509,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,910,1000
Laboratory,MW,1020,1110
17532,CSCE 121,510,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,910,1000
Laboratory,MW,1500,1550
20909,CSCE 121,511,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,910,1000
Laboratory,MW,1610,1700
20910,CSCE 121,512,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,910,1000
Laboratory,MW,1745,1835
23971,CSCE 121,513,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,910,1000
Laboratory,MW,800,850
23972,CSCE 121,514,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,910,1000
Laboratory,MW,1020,1110
23973,CSCE 121,515,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,910,1000
Laboratory,MW,1130,1220
27350,CSCE 121,516,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,910,1000
Laboratory,MW,1240,1330
27351,CSCE 121,517,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,1020,1110
Laboratory,MW,800,850
27352,CSCE 121,518,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,1020,1110
Laboratory,MW,910,1000
27353,CSCE 121,519,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,1020,1110
Laboratory,MW,1130,1220
27354,CSCE 121,520,INTRO PGM DESIGN CONCEPT
2
Lecture,MWF,1020,1110
Laboratory,MW,1240,1330
35896,CSCE 121,521,INTRO PGM DESIGN CONCEPT
2
Laboratory,MW,1020,1110
Lecture,TR,800,915
35897,CSCE 121,522,INTRO PGM DESIGN CONCEPT
2
Laboratory,MW,1130,1220
Lecture,TR,800,915
35898,CSCE 121,523,INTRO PGM DESIGN CONCEPT
2
Laboratory,MW,1240,1330
Lecture,TR,800,915
35899,CSCE 121,524,INTRO PGM DESIGN CONCEPT
2
Laboratory,MW,1350,1440
Lecture,TR,800,915
37709,CSCE 121,525,INTRO PGM DESIGN CONCEPT
2
Lecture,TR,935,1050
Laboratory,TR,1435,1525
37710,CSCE 121,526,INTRO PGM DESIGN CONCEPT
2
Lecture,TR,935,1050
Laboratory,TR,1555,1645
37711,CSCE 121,527,INTRO PGM DESIGN CONCEPT
2
Lecture,TR,935,1050
Laboratory,TR,1730,1820
37712,CSCE 121,528,INTRO PGM DESIGN CONCEPT
2
Lecture,TR,935,1050
Laboratory,TR,1840,1930
19178,CSCE 181,500,INTRO TO COMPUTING
1
Lecture,TR,1555,1710
12333,CSCE 206,501,STRUCTURED PROG IN C
2
Lecture,MWF,1350,1440
Laboratory,MW,1745,1835
12334,CSCE 206,502,STRUCTURED PROG IN C
2
Lecture,MWF,1350,1440
Laboratory,MW,1900,1950
12343,CSCE 221,501,DATA STRUC & ALGORITHM
2
Lecture,MWF,800,850
Laboratory,MW,910,1000
12344,CSCE 221,502,DATA STRUC & ALGORITHM
2
Lecture,MWF,800,850
Laboratory,MW,1130,1220
12347,CSCE 221,503,DATA STRUC & ALGORITHM
2
Lecture,MWF,800,850
Laboratory,TR,1245,1335
12349,CSCE 221,504,DATA STRUC & ALGORITHM
2
Lecture,MWF,800,850
Laboratory,TR,1435,1525
12350,CSCE 221,505,DATA STRUC & ALGORITHM
2
Lecture,MWF,910,1000
Laboratory,MW,800,850
12352,CSCE 221,506,DATA STRUC & ALGORITHM
2
Lecture,MWF,910,1000
Laboratory,MW,1020,1110
16242,CSCE 221,507,DATA STRUC & ALGORITHM
2
Lecture,MWF,910,1000
Laboratory,TR,935,1025
22284,CSCE 221,508,DATA STRUC & ALGORITHM
2
Lecture,MWF,910,1000
Laboratory,TR,1135,1225
17004,CSCE 221,509,DATA STRUC & ALGORITHM
2
Lecture,MWF,1020,1110
Laboratory,MW,800,850
14872,CSCE 221,510,DATA STRUC & ALGORITHM
2
Lecture,MWF,1020,1110
Laboratory,MW,910,1000
17001,CSCE 221,511,DATA STRUC & ALGORITHM
2
Lecture,MWF,1020,1110
Laboratory,MW,1350,1440
22285,CSCE 221,512,DATA STRUC & ALGORITHM
2
Lecture,MWF,1020,1110
Laboratory,MW,1500,1550
23974,CSCE 221,513,DATA STRUC & ALGORITHM
2
Lecture,MW,1610,1725
Laboratory,MW,1745,1835
23975,CSCE 221,514,DATA STRUC & ALGORITHM
2
Lecture,MW,1610,1725
Laboratory,MW,1900,1950
23976,CSCE 221,515,DATA STRUC & ALGORITHM
2
Laboratory,MW,1350,1440
Lecture,MW,1610,1725
34908,CSCE 221,517,DATA STRUC & ALGORITHM
2
Lecture,MWF,1020,1110
Laboratory,MW,1500,1550
34909,CSCE 221,518,DATA STRUC & ALGORITHM
2
Lecture,MWF,1020,1110
Laboratory,MW,1610,1700
34910,CSCE 221,519,DATA STRUC & ALGORITHM
2
Lecture,MWF,1020,1110
Laboratory,MW,1745,1835
34522,CSCE 222,201,HNR-DISCRETE STRUC COMPUTING
1
Lecture,MWF,800,850
15322,CSCE 222,501,DISCRETE STRUC COMPUTING
1
Lecture,MWF,800,850
15328,CSCE 222,502,DISCRETE STRUC COMPUTING
1
Lecture,TR,800,915
20913,CSCE 222,503,DISCRETE STRUC COMPUTING
1
Lecture,TR,935,1050
27357,CSCE 310,500,DATABASE SYSTEMS
1
Lecture,TR,1420,1535
36305,CSCE 312,201,HNR-COMPUTER ORGANIZATION
2
Lecture,MWF,1020,1110
Laboratory,MW,1350,1440
37714,CSCE 312,500,COMPUTER ORGANIZATION
2
Lecture,TR,1245,1400
Laboratory,F,820,1000
37928,CSCE 312,501,COMPUTER ORGANIZATION
2
Lecture,TR,1245,1400
Laboratory,F,1020,1200
12357,CSCE 312,502,COMPUTER ORGANIZATION
2
Lecture,TR,1245,1400
Laboratory,F,1240,1420
16243,CSCE 312,503,COMPUTER ORGANIZATION
2
Lecture,TR,1245,1400
Laboratory,F,1500,1640
27358,CSCE 312,504,COMPUTER ORGANIZATION
2
Lecture,MWF,1500,1550
Laboratory,MW,1350,1440
27359,CSCE 312,505,COMPUTER ORGANIZATION
2
Lecture,MWF,1500,1550
Laboratory,MW,1610,1700
27360,CSCE 312,506,COMPUTER ORGANIZATION
2
Lecture,MWF,1500,1550
Laboratory,MW,1745,1835
32819,CSCE 312,507,COMPUTER ORGANIZATION
2
Lecture,MWF,1500,1550
Laboratory,MW,1900,1950
34542,CSCE 312,508,COMPUTER ORGANIZATION
2
Laboratory,TR,1135,1225
Lecture,TR,1555,1710
34543,CSCE 312,509,COMPUTER ORGANIZATION
2
Laboratory,TR,1245,1335
Lecture,TR,1555,1710
37715,CSCE 312,510,COMPUTER ORGANIZATION
2
Laboratory,TR,1435,1525
Lecture,TR,1555,1710
34913,CSCE 312,511,COMPUTER ORGANIZATION
2
Lecture,TR,1555,1710
Laboratory,TR,1730,1820
17007,CSCE 313,200,HNR-INTRO TO COMPUTER SYSTEM
2
Lecture,TR,800,915
Laboratory,T,1345,1515
12359,CSCE 313,501,INTRO TO COMPUTER SYSTEM
2
Laboratory,MW,910,1000
Lecture,TR,1245,1400
12360,CSCE 313,502,INTRO TO COMPUTER SYSTEM
2
Laboratory,MW,1020,1110
Lecture,TR,1245,1400
12361,CSCE 313,503,INTRO TO COMPUTER SYSTEM
2
Laboratory,MW,1240,1330
Lecture,TR,1245,1400
34524,CSCE 313,505,INTRO TO COMPUTER SYSTEM
2
Laboratory,MW,1130,1220
Lecture,TR,1420,1535
34525,CSCE 313,506,INTRO TO COMPUTER SYSTEM
2
Laboratory,MW,1240,1330
Lecture,TR,1420,1535
37716,CSCE 313,507,INTRO TO COMPUTER SYSTEM
2
Lecture,TR,1420,1535
Laboratory,TR,1555,1645
37718,CSCE 313,509,INTRO TO COMPUTER SYSTEM
2
Laboratory,TR,825,915
