198
27830,MEEN 210,203,HNR-GEOMETRIC MODELING
2
Lecture,TR,935,1000
Laboratory,TR,1001,1050
37596,MEEN 210,501,GEOMETRIC MODELING
1
Lecture,MW,1240,1355
24234,MEEN 210,503,GEOMETRIC MODELING
2
Lecture,TR,935,1000
Laboratory,TR,1001,1050
27920,MEEN 210,505,GEOMETRIC MODELING
1
Lecture,MW,800,915
16803,MEEN 221,501,STATICS & PARTICLE DYNAM
1
Lecture,MWF,800,850
16804,MEEN 221,502,STATICS & PARTICLE DYNAM
1
Lecture,TR,1555,1710
16805,MEEN 221,503,STATICS & PARTICLE DYNAM
1
Lecture,MWF,1130,1220
19024,MEEN 221,505,STATICS & PARTICLE DYNAM
1
Lecture,MWF,910,1000
40119,MEEN 221,507,STATICS & PARTICLE DYNAM
1
Lecture,TR,1100,1215
40120,MEEN 221,508,STATICS & PARTICLE DYNAM
1
Lecture,MW,1100,1230
40122,MEEN 221,510,STATICS & PARTICLE DYNAM
1
Lecture,MWF,1000,1050
40123,MEEN 221,511,STATICS & PARTICLE DYNAM
1
Lecture,TR,1230,1400
11527,MEEN 222,501,MATERIALS SCIENCE
1
Lecture,TR,1730,1845
11528,MEEN 222,502,MATERIALS SCIENCE
1
Lecture,TR,800,915
11529,MEEN 222,503,MATERIALS SCIENCE
1
Lecture,TR,935,1050
12772,MEEN 222,504,MATERIALS SCIENCE
1
Lecture,MWF,1500,1550
19026,MEEN 222,505,MATERIALS SCIENCE
1
Lecture,MWF,1130,1220
38231,MEEN 225,502,ENGINEERING MECHANICS
2
Lecture,MW,1020,1110
Laboratory,R,1730,1920
11533,MEEN 260,504,MECHANICAL MEASUREMENTS
2
Lecture,MW,1130,1220
Laboratory,T,1420,1710
11534,MEEN 260,505,MECHANICAL MEASUREMENTS
2
Lecture,MW,1130,1220
Laboratory,R,800,1050
11535,MEEN 260,506,MECHANICAL MEASUREMENTS
2
Lecture,MW,1130,1220
Laboratory,R,1110,1400
36445,MEEN 260,M01,MECHANICAL MEASUREMENTS
2
Lecture,TR,930,1020
Laboratory,W,1400,1650
29517,MEEN 285,500,DIRECTED STUDIES
1
Independent Study,R,1730,1920
40426,MEEN 289,500,SPTP: INTRO MEEN
1
Lecture,F,1020,1110
27755,MEEN 315,201,HNR-PRIN OF THERMODYNAMICS
1
Lecture,MWF,910,1000
14125,MEEN 315,503,PRIN OF THERMODYNAMICS
1
Lecture,TR,1420,1535
14127,MEEN 315,505,PRIN OF THERMODYNAMICS
1
Lecture,MWF,1610,1700
19029,MEEN 315,506,PRIN OF THERMODYNAMICS
1
Lecture,MWF,1240,1330
22260,MEEN 315,507,PRIN OF THERMODYNAMICS
1
Lecture,TR,800,915
26876,MEEN 315,508,PRIN OF THERMODYNAMICS
1
Lecture,MWF,1500,1550
35311,MEEN 315,550,PRIN OF THERMODYNAMICS-GV
1
Lecture,MW,1610,1725
11540,MEEN 344,501,FLUID MECHANICS
1
Lecture,MWF,1500,1550
11541,MEEN 344,502,FLUID MECHANICS
1
Lecture,TR,800,915
11542,MEEN 345,501,FLUID MECHANICS LAB
1
Laboratory,M,1420,1710
11543,MEEN 345,502,FLUID MECHANICS LAB
1
Laboratory,T,1110,1400
11544,MEEN 345,503,FLUID MECHANICS LAB
1
Laboratory,T,1420,1710
11545,MEEN 345,504,FLUID MECHANICS LAB
1
Laboratory,W,1420,1710
11546,MEEN 345,505,FLUID MECHANICS LAB
1
Laboratory,R,1420,1710
11547,MEEN 345,506,FLUID MECHANICS LAB
1
Laboratory,R,1110,1400
14150,MEEN 345,507,FLUID MECHANICS LAB
1
Laboratory,W,1110,1400
20068,MEEN 345,508,FLUID MECHANICS LAB
1
Laboratory,T,800,1050
27837,MEEN 357,202,HNR-ENGR ANALYSIS FOR MECH
1
Lecture,MWF,1350,1440
11548,MEEN 357,501,ENGR ANALYSIS FOR MECH
1
Lecture,TR,1245,1400
11549,MEEN 357,502,ENGR ANALYSIS FOR MECH
1
Lecture,MWF,1350,1440
39459,MEEN 357,M01,ENGR ANALYSIS FOR MECH
1
Lecture,TR,800,915
30671,MEEN 360,500,MTLS & MFG SELECT IN DSN
1
Lecture,TR,1245,1400
30748,MEEN 360,502,MTLS & MFG SELECT IN DSN
1
Lecture,TR,1420,1535
20153,MEEN 361,500,MTLS & MFG IN DESIGN LAB
1
Laboratory,W,1110,1400
17707,MEEN 361,501,MTLS & MFG IN DESIGN LAB
1
Laboratory,T,1110,1400
17708,MEEN 361,502,MTLS & MFG IN DESIGN LAB
1
Laboratory,T,1420,1710
17709,MEEN 361,503,MTLS & MFG IN DESIGN LAB
1
Laboratory,W,1420,1710
17710,MEEN 361,504,MTLS & MFG IN DESIGN LAB
1
Laboratory,R,1110,1400
17711,MEEN 361,505,MTLS & MFG IN DESIGN LAB
1
Laboratory,R,1420,1710
17712,MEEN 361,506,MTLS & MFG IN DESIGN LAB
1
Laboratory,M,1420,1710
22440,MEEN 361,507,MTLS & MFG IN DESIGN LAB
1
Laboratory,M,1110,1400
33343,MEEN 361,508,MTLS & MFG IN DESIGN LAB
1
Laboratory,T,800,1050
34929,MEEN 361,510,MTLS & MFG IN DESIGN LAB
1
Laboratory,R,800,1050
36991,MEEN 361,511,MTLS & MFG IN DESIGN LAB
1
Laboratory,W,800,1050
11551,MEEN 363,502,DYNAMICS AND VIBRATIONS
2
Lecture,MW,1240,1330
Laboratory,T,1720,1910
